Time [s], Pressure [PSI]
33.20075, -20.85
33.213480000000004, -20.85
33.22621, -20.85
33.23894, -20.85
33.25167, -20.85
33.2644, -21.07
33.27713, -20.85
33.28986, -20.85
33.302589999999995, -21.07
33.31532, -20.85
33.328050000000005, -20.85
33.34078, -20.85
33.35351, -20.85
33.36624, -20.85
33.37897, -20.85
33.3917, -20.85
33.40443, -20.85
33.41716, -20.85
33.42989, -20.85
33.442620000000005, -20.85
33.455349999999996, -20.85
33.46808, -20.85
33.48082, -21.07
33.493550000000006, -20.85
33.50628, -20.85
33.51901, -20.85
33.53174, -20.85
33.544470000000004, -20.85
33.557199999999995, -21.07
33.56993, -20.85
33.582660000000004, -20.85
33.59539, -20.85
33.60812, -20.85
33.62085, -20.85
33.63358, -20.85
33.64631, -20.85
33.65904, -21.07
33.671769999999995, -20.85
33.6845, -20.85
33.697230000000005, -20.85
33.70996, -20.85
33.72269, -20.85
33.73542, -20.85
33.748160000000006, -21.07
33.760889999999996, -20.85
33.77362, -20.85
33.78635, -20.85
33.799080000000004, -21.07
33.811809999999994, -20.85
33.82454, -20.85
33.83727, -20.85
33.85, -20.85
33.862730000000006, -20.85
33.87546, -20.85
33.88819, -20.85
33.90092, -20.85
33.913650000000004, -20.85
33.926379999999995, -20.85
33.93911, -21.07
33.95184, -20.85
33.96457, -20.85
33.9773, -20.85
33.99003, -20.85
34.00276, -21.07
34.0155, -20.85
34.02823, -20.85
34.04096, -20.85
34.05369, -20.85
34.06642, -20.85
34.07915, -20.85
34.091879999999996, -21.07
34.10461, -20.85
34.11734, -20.85
34.130069999999996, -20.85
34.1428, -21.07
34.15553, -20.85
34.168260000000004, -20.85
34.18099, -21.07
34.19372, -20.85
34.20645, -20.85
34.21918, -20.85
34.231910000000006, -20.85
34.24464, -20.85
34.25737, -20.85
34.2701, -20.85
34.282830000000004, -20.85
34.29557, -20.85
34.3083, -20.85
34.32103, -20.85
34.333760000000005, -20.85
34.346489999999996, -20.85
34.35922, -20.85
34.37195, -20.85
34.38468, -20.85
34.39741, -20.85
34.41014, -20.85
34.42287, -21.07
34.4356, -21.07
34.44833, -21.07
34.461059999999996, -20.85
34.47379, -21.07
34.48652, -20.85
34.49925, -21.07
34.51198, -20.85
34.52471, -20.85
34.537440000000004, -20.85
34.55017, -20.85
34.56291, -20.85
34.57564, -20.85
34.588370000000005, -21.07
34.601099999999995, -20.85
34.61383, -20.85
34.62656, -20.85
34.63929, -21.07
34.65202, -21.07
34.66475, -20.85
34.67748, -21.07
34.69021, -20.85
34.702940000000005, -21.07
34.715669999999996, -20.85
34.7284, -21.07
34.74113, -21.07
34.75386, -20.85
34.766589999999994, -21.07
34.77932, -20.85
34.79205, -21.07
34.80478, -20.85
34.81751, -21.07
34.83025, -20.85
34.842980000000004, -21.07
34.85571, -21.07
34.86844, -20.85
34.88117, -21.07
34.8939, -20.85
34.90663, -20.85
34.91936, -20.85
34.932089999999995, -20.85
34.94482, -21.07
34.957550000000005, -20.85
34.970279999999995, -21.07
34.98301, -20.85
34.99574, -20.85
35.00847, -20.85
35.0212, -21.07
35.03393, -21.07
35.04666, -20.85
35.05939, -21.07
35.072120000000005, -20.85
35.084849999999996, -21.07
35.09758, -20.85
35.11032, -21.07
35.123050000000006, -21.07
35.13578, -20.85
35.14851, -21.07
35.16124, -20.85
35.173970000000004, -21.07
35.186699999999995, -21.07
35.19943, -21.07
35.212160000000004, -21.07
35.22489, -20.85
35.23762, -21.07
35.25035, -20.85
35.26308, -21.07
35.27581, -21.07
35.28854, -21.07
35.301269999999995, -20.85
35.314, -21.07
35.326730000000005, -21.07
35.33946, -21.07
35.35219, -21.07
35.36492, -21.07
35.377660000000006, -20.85
35.39039, -20.85
35.40312, -21.07
35.41585, -21.07
35.428580000000004, -21.07
35.441309999999994, -21.07
35.45404, -21.07
35.46677, -20.85
35.4795, -21.07
35.492230000000006, -21.07
35.50496, -21.07
35.51769, -21.07
35.53042, -21.07
35.543150000000004, -21.07
35.555879999999995, -21.07
35.56861, -21.07
35.58134, -21.07
35.59407, -21.07
35.6068, -21.07
35.61953, -21.07
35.63226, -21.07
35.645, -21.07
35.65773, -21.07
35.67046, -21.07
35.68319, -21.07
35.69592, -21.07
35.70865, -21.07
35.721379999999996, -21.07
35.73411, -21.07
35.74684, -21.07
35.75957, -21.07
35.7723, -21.07
35.78503, -21.07
35.797760000000004, -21.07
35.81049, -20.85
35.82322, -20.85
35.83595, -21.07
35.84868, -20.85
35.86141000000001, -21.07
35.87414, -20.85
35.88687, -20.85
35.8996, -21.07
35.912330000000004, -21.07
35.92507, -21.07
35.9378, -21.07
35.95053, -21.07
35.963260000000005, -21.07
35.975989999999996, -21.07
35.98872, -21.07
36.00145, -21.07
36.01418, -21.07
36.02691, -21.07
36.03964, -21.07
36.05237, -21.07
36.0651, -21.07
36.07783, -21.07
36.090559999999996, -21.07
36.10329, -21.07
36.11602, -21.07
36.12875, -21.07
36.14148, -21.07
36.15421, -21.07
36.166940000000004, -21.07
36.17967, -21.07
36.19241, -21.07
36.20514, -21.07
36.217870000000005, -21.07
36.230599999999995, -20.85
36.24333, -21.07
36.25606, -21.07
36.26879, -21.07
36.28151999999999, -21.07
36.29425, -21.07
36.30698, -21.07
36.31971, -21.07
36.332440000000005, -21.07
